"","x"
"1",7
"2",3
"3",4
"4",4
"5",3
"6",6
"7",7
"8",8
"9",5
"10",7
"11",3
"12",9
"13",6
"14",2
"15",3
"16",4
"17",5
"18",2
"19",2
"20",6
"21",4
"22",6
"23",2
"24",7
"25",6
"26",4
"27",7
"28",8
"29",4
"30",6
"31",0
"32",2
"33",7
"34",3
"35",7
"36",4
"37",6
"38",1
"39",6
"40",9
"41",3
"42",9
"43",10
"44",4
"45",9
"46",4
"47",3
"48",4
"49",3
"50",1
"51",5
"52",4
"53",5
"54",8
"55",6
"56",3
"57",5
"58",10
"59",3
"60",8
"61",3
"62",3
"63",6
"64",2
"65",2
"66",4
"67",5
"68",4
"69",4
"70",2
"71",7
"72",4
"73",6
"74",5
"75",2
"76",9
"77",2
"78",4
"79",2
"80",6
"81",6
"82",7
"83",4
"84",6
"85",3
"86",2
"87",4
"88",6
"89",5
"90",3
"91",4
"92",4
"93",3
"94",2
"95",6
"96",8
"97",6
"98",3
"99",6
"100",6
"101",3
"102",1
"103",3
"104",4
"105",4
"106",4
"107",4
"108",4
"109",4
"110",4
"111",3
"112",8
"113",7
"114",3
"115",1
"116",4
"117",6
"118",4
"119",9
"120",2
"121",5
"122",6
"123",3
"124",1
"125",7
"126",3
"127",2
"128",5
"129",3
"130",3
"131",3
"132",6
"133",4
"134",5
"135",4
"136",6
"137",5
"138",2
"139",9
"140",4
"141",6
"142",2
"143",1
"144",3
"145",5
"146",4
"147",3
"148",2
"149",5
"150",7
"151",8
"152",5
"153",8
"154",1
"155",2
"156",2
"157",1
"158",5
"159",2
"160",3
"161",6
"162",3
"163",7
"164",6
"165",4
"166",3
"167",3
"168",3
"169",10
"170",8
"171",10
"172",4
"173",4
"174",8
"175",5
"176",9
"177",4
"178",7
"179",4
"180",3
"181",6
"182",4
"183",7
"184",7
"185",3
"186",6
"187",3
"188",3
"189",4
"190",5
"191",2
"192",6
"193",2
"194",6
"195",5
"196",2
"197",3
"198",6
"199",6
"200",4
"201",5
"202",8
"203",4
"204",6
"205",4
"206",7
"207",6
"208",6
"209",4
"210",6
"211",5
"212",6
"213",2
"214",3
"215",9
"216",6
"217",2
"218",5
"219",6
"220",4
"221",3
"222",10
"223",3
"224",5
"225",6
"226",7
"227",3
"228",4
"229",2
"230",2
"231",10
"232",2
"233",9
"234",9
"235",7
"236",5
"237",6
"238",2
"239",4
"240",6
"241",7
"242",7
"243",4
"244",2
"245",5
"246",4
"247",2
"248",8
"249",6
"250",1
"251",5
"252",5
"253",3
"254",4
"255",4
"256",4
"257",9
"258",3
"259",4
"260",2
"261",4
"262",8
"263",7
"264",3
"265",5
"266",6
"267",7
"268",3
"269",5
"270",5
"271",6
"272",7
"273",7
"274",5
"275",2
"276",5
"277",3
"278",5
"279",4
"280",4
"281",10
"282",2
"283",5
"284",7
"285",5
"286",4
"287",5
"288",4
"289",4
"290",3
"291",7
"292",5
"293",3
"294",5
"295",3
"296",5
"297",7
"298",5
"299",2
"300",2
"301",5
"302",3
"303",6
"304",2
"305",6
"306",7
"307",4
"308",6
"309",4
"310",6
"311",3
"312",5
"313",5
"314",6
"315",3
"316",2
"317",6
"318",6
"319",5
"320",3
"321",6
"322",5
"323",8
"324",3
"325",6
"326",6
"327",4
"328",5
"329",5
"330",4
"331",7
"332",4
"333",8
"334",7
"335",5
"336",1
"337",8
"338",10
"339",4
"340",4
"341",9
"342",3
"343",5
"344",2
"345",8
"346",1
"347",8
"348",3
"349",6
"350",7
"351",10
"352",8
"353",5
"354",8
"355",2
"356",6
"357",6
"358",8
"359",3
"360",5
"361",4
"362",5
"363",6
"364",4
"365",7
"366",3
"367",7
"368",2
"369",4
"370",6
"371",2
"372",0
"373",4
"374",4
"375",5
"376",9
"377",8
"378",3
"379",5
"380",3
"381",4
"382",5
"383",3
"384",5
"385",7
"386",3
"387",6
"388",6
"389",2
"390",3
"391",4
"392",3
"393",4
"394",7
"395",2
"396",9
"397",4
"398",5
"399",4
"400",8
"401",9
"402",3
"403",7
"404",5
"405",6
"406",4
"407",5
"408",6
"409",3
"410",7
"411",10
"412",6
"413",2
"414",2
"415",4
"416",4
"417",6
"418",9
"419",7
"420",8
"421",3
"422",4
"423",5
"424",2
"425",3
"426",4
"427",8
"428",3
"429",3
"430",10
"431",4
"432",5
"433",5
"434",5
"435",5
"436",4
"437",5
"438",5
"439",4
"440",3
"441",3
"442",4
"443",1
"444",5
"445",4
"446",4
"447",4
"448",4
"449",5
"450",8
"451",5
"452",6
"453",3
"454",2
"455",3
"456",6
"457",4
"458",3
"459",7
"460",3
"461",6
"462",4
"463",5
"464",6
"465",3
"466",4
"467",4
"468",4
"469",5
"470",2
"471",8
"472",4
"473",5
"474",6
"475",2
"476",9
"477",6
"478",4
"479",6
"480",5
"481",4
"482",5
"483",3
"484",4
"485",3
"486",5
"487",3
"488",7
"489",0
"490",6
"491",6
"492",4
"493",6
"494",3
"495",7
"496",7
"497",6
"498",4
"499",4
"500",5
"501",6
"502",7
"503",1
"504",8
"505",7
"506",5
"507",5
"508",8
"509",5
"510",3
"511",4
"512",6
"513",4
"514",4
"515",3
"516",4
"517",7
"518",6
"519",4
"520",6
"521",5
"522",4
"523",5
"524",4
"525",6
"526",5
"527",6
"528",4
"529",2
"530",1
"531",6
"532",6
"533",13
"534",3
"535",4
"536",5
"537",1
"538",2
"539",7
"540",7
"541",3
"542",6
"543",4
"544",6
"545",2
"546",4
"547",5
"548",8
"549",5
"550",3
"551",7
"552",5
"553",3
"554",5
"555",4
"556",2
"557",5
"558",6
"559",9
"560",3
"561",4
"562",8
"563",8
"564",4
"565",3
"566",4
"567",5
"568",1
"569",4
"570",5
"571",7
"572",4
"573",8
"574",10
"575",6
"576",5
"577",5
"578",4
"579",9
"580",4
"581",5
"582",3
"583",4
"584",4
"585",3
"586",6
"587",2
"588",3
"589",5
"590",4
"591",5
"592",3
"593",5
"594",2
"595",6
"596",5
"597",6
"598",10
"599",3
"600",6
"601",5
"602",4
"603",2
"604",6
"605",3
"606",1
"607",5
"608",6
"609",7
"610",2
"611",5
"612",5
"613",5
"614",2
"615",2
"616",3
"617",5
"618",4
"619",1
"620",4
"621",3
"622",4
"623",6
"624",5
"625",2
"626",4
"627",5
"628",4
"629",6
"630",7
"631",4
"632",5
"633",7
"634",9
"635",6
"636",7
"637",2
"638",6
"639",3
"640",4
"641",2
"642",3
