"","V1","V2","V3","V4","V5","V6"
"1",2,12,1,4,0,0
"2",6,0,0,3,0,0
"3",2,0,0,0,0,0
"4",4,0,0,3,0,0
"5",6,6,6,0,0,0
"6",13,1,0,0,3,0
"7",8,0,0,1,4,0
"8",6,0,3,0,0,0
"9",8,0,0,0,3,0
"10",5,2,0,0,0,0
"11",9,3,0,0,3,0
"12",3,0,3,0,0,0
"13",7,8,0,0,3,0
"14",3,0,0,0,0,0
"15",9,0,0,0,0,0
"16",6,5,0,3,2,0
"17",7,2,2,0,0,0
"18",4,0,3,2,0,0
"19",6,0,3,0,3,0
"20",4,3,2,0,0,0
"21",8,3,0,0,3,0
"22",2,7,0,3,0,0
"23",12,6,2,2,2,0
"24",11,0,3,0,1,0
"25",0,0,0,0,4,0
"26",10,0,0,0,2,0
"27",9,0,0,3,0,0
"28",2,0,0,4,2,0
"29",13,1,0,0,0,0
"30",8,6,1,0,3,0
"31",3,2,0,0,3,0
"32",9,4,3,2,2,0
"33",5,6,1,3,3,0
"34",8,7,3,0,3,0
"35",9,2,2,0,2,0
"36",7,6,0,0,3,0
"37",13,1,3,0,0,0
"38",0,0,0,0,4,0
"39",6,0,0,0,3,0
"40",0,0,4,0,0,0
"41",7,4,1,0,0,0
"42",15,2,0,3,0,0
"43",6,7,5,2,0,0
"44",10,3,0,0,3,0
"45",7,0,0,3,0,0
"46",10,0,0,3,0,0
"47",3,0,0,0,2,0
"48",14,0,0,3,2,0
"49",4,0,0,3,2,0
"50",2,0,0,0,3,0
"51",12,0,4,0,0,0
"52",3,0,0,0,3,0
"53",0,0,0,0,4,0
"54",3,0,2,0,0,0
"55",11,1,2,0,0,0
"56",14,0,2,0,0,0
"57",6,8,2,2,0,0
"58",4,9,0,0,3,0
"59",11,0,3,0,0,0
"60",15,0,0,0,0,0
"61",11,0,0,0,3,0
"62",3,5,0,0,2,0
"63",0,0,4,0,0,0
"64",12,0,2,0,3,0
"65",4,10,0,3,0,0
"66",3,6,2,0,0,0
"67",13,1,2,0,0,0
"68",10,5,4,1,2,0
"69",10,4,3,4,0,0
"70",2,0,0,3,0,0
"71",12,0,0,0,3,0
"72",11,2,0,2,0,0
"73",0,0,0,0,4,0
"74",12,1,2,0,2,0
"75",0,0,0,0,4,0
"76",4,2,0,0,0,0
"77",5,2,0,0,3,0
"78",2,0,0,0,3,0
"79",0,0,0,0,4,0
"80",6,8,0,3,2,0
"81",0,0,0,0,4,0
"82",7,1,2,0,0,0
"83",2,0,0,3,0,0
"84",2,0,3,0,0,0
"85",6,2,1,3,0,0
"86",0,3,0,0,0,0
"87",2,0,0,3,0,0
"88",12,2,0,0,0,0
"89",9,3,0,2,0,0
"90",11,0,2,0,0,0
"91",6,0,0,2,0,0
"92",11,0,3,0,0,0
"93",11,2,0,0,3,0
"94",4,0,0,0,0,0
"95",0,0,0,0,4,0
"96",13,0,2,0,0,0
"97",0,0,0,4,0,0
"98",9,0,0,0,0,0
"99",5,4,3,2,0,0
"100",13,2,0,0,0,0
"101",0,0,4,0,0,0
"102",9,2,6,1,0,1
"103",8,6,0,1,4,0
"104",6,5,0,0,0,0
"105",8,7,0,0,1,3
"106",11,0,2,0,0,0
"107",9,3,0,3,2,0
"108",0,0,4,0,0,0
"109",6,8,2,0,0,0
"110",8,1,3,0,0,0
"111",3,2,0,0,0,0
"112",7,0,0,3,2,0
"113",2,4,0,1,0,0
"114",2,0,0,3,0,0
"115",0,13,0,3,0,0
"116",0,1,8,7,1,3
"117",0,4,0,2,0,0
"118",6,2,0,0,3,0
"119",0,0,0,4,0,0
"120",12,2,3,0,1,0
"121",0,0,0,0,4,0
"122",9,0,2,2,1,0
"123",11,3,0,0,3,0
"124",6,0,2,0,0,0
"125",10,0,0,3,0,0
"126",6,0,2,2,0,0
"127",4,0,3,0,0,0
"128",0,0,4,0,0,0
"129",11,2,0,0,1,3
"130",12,3,0,3,0,0
