"","V1","V2","V3","V4","V5","V6"
"1",0,9,3,0,0,0
"2",9,0,2,3,0,0
"3",0,7,1,3,0,0
"4",0,5,2,2,0,0
"5",0,5,0,0,4,1
"6",10,3,0,3,2,0
"7",0,0,0,4,0,0
"8",0,4,5,1,0,3
"9",5,3,0,0,3,0
"10",5,2,0,0,0,1
"11",0,10,3,0,3,0
"12",0,0,1,8,5,4
"13",2,9,0,0,0,0
"14",0,3,6,5,0,0
"15",3,2,2,0,0,0
"16",0,0,6,2,7,0
"17",3,5,2,0,0,0
"18",10,3,0,3,0,0
"19",0,2,10,3,0,0
"20",1,1,7,3,0,0
"21",0,7,1,3,2,0
"22",0,11,0,3,0,0
"23",0,9,4,4,2,0
"24",0,1,11,0,1,0
"25",0,0,0,0,4,0
"26",0,3,8,2,1,0
"27",2,9,0,5,0,0
"28",0,2,10,6,2,0
"29",0,0,0,0,4,0
"30",1,11,0,2,0,0
"31",11,0,0,0,3,0
"32",1,11,0,2,0,0
"33",2,1,11,0,0,0
"34",0,11,0,1,3,0
"35",0,0,10,2,1,0
"36",0,0,8,5,2,0
"37",2,1,0,0,0,3
"38",0,0,0,0,4,0
"39",7,2,0,0,2,0
"40",0,0,10,2,0,0
"41",0,7,7,1,3,0
"42",7,3,2,2,0,0
"43",2,10,3,0,0,0
"44",0,2,8,2,2,0
"45",7,0,2,2,0,0
"46",0,0,0,4,0,0
"47",4,4,0,0,1,0
"48",1,13,0,0,4,0
"49",1,3,6,0,0,0
"50",1,2,0,0,2,0
"51",1,11,0,1,0,0
"52",0,11,0,0,0,2
"53",0,0,0,0,4,0
"54",1,11,2,0,0,0
"55",1,7,5,0,0,0
"56",0,3,0,0,3,0
"57",1,1,11,0,0,0
"58",0,7,4,2,2,0
"59",0,2,10,0,2,0
"60",0,8,2,3,0,0
"61",0,0,7,0,5,0
"62",2,7,0,2,2,0
"63",0,0,8,10,0,2
"64",1,10,0,3,0,0
"65",2,7,0,3,0,0
"66",0,8,4,2,0,0
"67",4,3,0,3,0,0
"68",2,0,0,4,2,0
"69",9,0,0,3,0,0
"70",0,6,0,3,0,0
"71",0,3,6,0,2,3
"72",0,4,9,2,0,0
"73",9,3,0,0,3,0
"74",1,3,6,2,1,0
"75",5,3,0,0,3,0
"76",0,2,7,4,0,0
"77",2,6,2,0,2,0
"78",0,6,3,5,2,0
"79",0,0,0,0,4,0
"80",0,4,8,2,2,0
"81",0,4,2,4,1,0
"82",0,11,3,0,0,0
"83",0,0,13,1,3,0
"84",0,7,7,2,0,0
"85",0,13,2,0,0,0
"86",0,5,7,2,0,0
"87",1,3,9,0,0,0
"88",1,12,0,1,0,0
"89",0,1,11,0,0,3
"90",1,1,8,0,0,0
"91",0,0,9,0,4,0
"92",10,2,0,0,0,0
"93",0,1,10,2,3,0
"94",8,2,0,0,7,0
"95",8,1,2,0,0,0
"96",3,6,4,0,2,0
"97",0,7,0,2,0,4
"98",5,4,0,0,0,0
"99",2,2,6,0,0,3
"100",7,0,0,4,0,0
"101",0,0,9,0,1,0
"102",1,7,6,0,0,0
"103",0,8,6,2,0,0
"104",0,1,13,0,0,0
"105",2,7,0,2,0,0
"106",0,10,1,3,0,0
"107",1,10,3,0,0,0
"108",5,1,3,2,0,0
"109",0,1,11,3,0,0
"110",11,3,0,0,3,0
"111",9,2,0,0,3,0
"112",6,9,0,1,2,0
"113",3,1,0,3,0,0
"114",0,1,6,2,2,0
"115",0,9,2,4,2,0
"116",0,0,13,0,1,5
"117",0,11,0,2,0,0
"118",5,3,0,0,1,4
"119",0,4,10,1,0,0
"120",0,1,9,1,1,3
"121",0,12,2,0,1,0
"122",1,0,13,0,0,0
"123",0,0,8,4,2,0
"124",4,3,5,2,0,0
"125",1,6,2,2,0,0
"126",0,3,0,0,3,0
"127",0,0,13,0,2,0
"128",0,0,8,0,0,0
"129",6,6,0,2,0,0
"130",0,0,9,6,3,0
