"","V1","V2","V3","V4","V5","V6"
"1",0,8,40,0,0,0
"2",8,4,32,0,0,4
"3",4,40,0,4,0,0
"4",0,12,0,36,0,0
"5",4,8,28,4,4,0
"6",0,4,28,8,0,8
"7",4,8,12,24,0,0
"8",8,32,4,0,4,0
"9",4,0,4,24,8,8
"10",4,4,28,0,8,4
"11",0,0,8,32,4,4
"12",0,0,8,32,8,0
"13",0,44,4,0,0,0
"14",0,0,0,40,8,0
"15",4,36,0,0,0,8
"16",4,8,28,0,4,4
"17",0,0,0,40,4,4
"18",8,20,16,4,0,0
"19",0,0,0,44,0,4
"20",4,0,4,32,4,4
"21",0,0,0,0,36,12
"22",8,8,32,0,0,0
"23",0,4,4,36,4,0
"24",4,4,12,24,4,0
"25",0,0,0,0,40,8
"26",4,0,36,4,4,0
"27",8,28,0,8,0,4
"28",0,0,0,40,4,4
"29",0,0,36,4,8,0
"30",0,0,4,16,20,8
"31",4,0,4,36,4,0
"32",0,0,4,40,4,0
"33",0,8,28,12,0,0
"34",0,0,36,4,8,0
"35",0,4,36,4,4,0
"36",0,0,4,32,4,8
"37",0,4,0,4,32,8
"38",0,0,16,8,12,12
"39",0,4,4,8,32,0
"40",4,28,8,4,4,0
"41",0,0,40,0,4,4
"42",0,0,40,8,0,0
"43",8,12,4,24,0,0
"44",4,4,32,0,4,4
"45",0,4,40,4,0,0
"46",0,0,36,8,4,0
"47",12,0,32,0,4,0
"48",0,40,0,0,8,0
"49",0,0,0,0,24,24
"50",36,4,4,0,4,0
"51",0,4,8,28,4,4
"52",0,40,8,0,0,0
"53",16,20,0,8,4,0
"54",8,36,0,0,4,0
"55",0,0,8,36,4,0
"56",4,0,0,0,0,0
"57",0,0,40,4,4,0
"58",0,0,0,28,16,4
"59",4,4,20,16,4,0
"60",0,0,36,12,0,0
"61",0,0,0,12,32,4
"62",20,24,0,4,0,0
"63",0,0,8,36,0,4
"64",0,4,40,0,0,4
"65",4,4,20,16,0,4
"66",0,0,44,4,0,0
"67",4,12,28,0,0,4
"68",0,4,40,0,4,0
"69",0,32,12,4,0,0
"70",0,0,4,8,0,36
"71",0,0,24,16,4,4
"72",0,32,12,4,0,0
"73",12,28,0,0,4,4
"74",4,8,8,24,4,0
"75",0,0,44,0,4,0
"76",0,4,36,4,0,4
"77",0,0,0,44,4,0
"78",0,8,40,0,0,0
"79",0,0,0,0,40,8
"80",4,0,12,24,4,4
"81",0,0,40,4,4,0
"82",4,8,36,0,0,0
"83",0,0,36,4,0,8
"84",0,0,4,40,4,0
"85",0,4,8,0,36,0
"86",0,4,32,4,8,0
"87",4,4,0,16,20,4
"88",0,4,16,24,0,4
"89",0,4,8,16,12,8
"90",0,0,40,0,8,0
"91",4,16,28,0,0,0
"92",12,32,0,4,0,0
"93",4,0,0,36,4,4
"94",0,4,40,0,4,0
"95",0,8,40,0,0,0
"96",0,0,12,8,28,0
"97",4,32,4,8,0,0
"98",24,24,0,0,0,0
"99",8,0,36,4,0,0
"100",28,16,0,4,0,0
"101",0,4,8,32,4,0
"102",0,4,36,0,4,4
"103",20,24,4,0,0,0
"104",0,4,36,0,4,4
"105",0,4,4,24,16,0
"106",4,8,36,0,0,0
"107",4,0,4,24,8,8
"108",0,4,40,4,0,0
"109",0,0,40,4,4,0
"110",0,0,24,16,4,4
"111",8,36,0,0,4,0
"112",0,40,0,4,4,0
"113",4,32,8,4,0,0
"114",0,0,0,36,8,4
"115",0,40,4,4,0,0
"116",4,32,4,4,4,0
"117",0,0,40,4,4,0
"118",0,8,32,0,4,4
"119",8,16,20,4,0,0
"120",4,4,36,0,4,0
"121",16,20,4,4,4,0
"122",4,0,36,4,4,0
"123",0,0,0,36,12,0
"124",0,12,28,8,0,0
"125",4,4,32,4,0,4
"126",4,4,28,4,4,4
"127",4,0,16,24,0,4
"128",8,0,40,0,0,0
"129",4,40,0,4,0,0
"130",4,32,4,4,4,0
