"","V1","V2","V3","V4","V5","V6"
"1",0,0,1,2,0,25
"2",0,0,0,1,13,15
"3",0,0,0,1,0,16
"4",0,0,0,1,10,10
"5",0,2,1,0,0,18
"6",0,0,0,4,11,9
"7",0,0,1,1,1,20
"8",0,2,6,1,1,11
"9",0,0,0,0,5,20
"10",0,0,0,0,1,26
"11",0,0,0,3,2,23
"12",0,0,4,2,0,18
"13",0,0,0,4,6,13
"14",0,0,0,2,1,29
"15",1,0,0,3,6,17
"16",0,0,2,1,9,13
"17",0,0,0,1,0,23
"18",1,0,0,1,0,26
"19",0,0,0,1,1,22
"20",0,0,1,0,2,24
"21",0,0,0,0,4,25
"22",1,0,0,2,0,24
"23",0,0,1,1,5,15
"24",0,0,1,3,3,21
"25",0,0,0,0,1,22
"26",0,0,0,0,7,13
"27",1,0,0,5,17,2
"28",0,0,0,11,11,2
"29",0,0,0,2,3,23
"30",0,0,4,7,3,0
"31",0,0,0,1,2,15
"32",0,0,2,3,0,22
"33",0,1,0,1,0,24
"34",0,0,0,3,1,20
"35",0,0,1,2,3,21
"36",0,0,0,2,23,1
"37",0,0,0,0,3,32
"38",0,0,0,2,1,23
"39",0,0,0,0,4,27
"40",0,0,1,0,0,23
"41",0,0,0,4,1,20
"42",0,0,0,0,3,14
"43",0,0,0,2,0,19
"44",0,0,0,8,1,21
"45",0,0,0,2,7,14
"46",1,0,0,5,0,24
"47",1,0,0,0,0,22
"48",0,0,0,0,4,20
"49",0,0,1,0,0,24
"50",1,0,1,2,14,5
"51",0,0,2,0,13,10
"52",0,5,0,0,0,18
"53",0,0,2,4,13,1
"54",0,1,1,4,0,14
"55",0,1,0,1,0,17
"56",1,0,0,1,7,14
"57",0,0,0,0,2,21
"58",0,0,0,0,6,25
"59",0,0,2,12,6,0
"60",0,0,2,3,2,21
"61",0,0,1,1,2,17
"62",0,0,1,0,3,21
"63",0,0,4,2,1,7
"64",0,1,0,0,5,17
"65",0,0,0,0,25,2
"66",0,0,1,0,6,24
"67",0,1,0,0,2,23
"68",1,0,0,1,21,0
"69",0,0,0,11,8,0
"70",0,0,1,6,1,21
"71",0,0,3,0,9,6
"72",0,1,0,2,0,24
"73",0,1,2,11,4,0
"74",0,1,0,0,4,22
"75",0,0,0,0,2,23
"76",0,0,0,2,0,25
"77",0,0,1,4,1,17
"78",0,2,1,0,0,25
"79",0,0,0,0,4,24
"80",0,0,0,10,4,13
"81",0,0,0,0,3,22
"82",0,3,0,0,0,26
"83",0,0,2,2,4,13
"84",0,0,0,3,1,16
"85",0,0,2,2,14,0
"86",0,0,1,2,4,20
"87",0,3,2,6,1,9
"88",0,0,2,0,2,22
"89",0,0,0,2,2,21
"90",0,0,0,0,0,26
"91",0,1,2,0,0,26
"92",0,0,0,4,17,4
"93",0,0,0,0,3,26
"94",0,1,0,0,4,19
"95",0,0,0,0,0,25
"96",0,0,2,1,9,14
"97",0,0,0,4,0,18
"98",1,0,0,1,4,18
"99",0,0,0,4,9,10
"100",0,0,0,0,11,14
"101",0,0,1,0,3,21
"102",0,1,0,0,7,21
"103",0,0,3,5,0,20
"104",0,0,1,1,0,27
"105",0,0,0,2,12,4
"106",0,1,0,0,0,21
"107",0,1,0,0,7,17
"108",0,0,0,0,3,20
"109",0,0,1,0,4,20
"110",0,0,0,1,11,6
"111",0,2,0,2,11,4
"112",0,0,0,7,17,0
"113",0,0,0,2,4,17
"114",0,0,1,3,0,21
"115",0,0,0,9,6,11
"116",0,0,0,2,0,22
"117",0,0,0,3,3,16
"118",0,0,7,0,0,11
"119",0,0,9,9,2,3
"120",0,0,1,1,3,22
"121",1,1,6,8,1,0
"122",0,0,0,0,0,22
"123",0,0,0,0,5,23
"124",0,2,0,2,0,18
"125",0,0,4,1,0,27
"126",0,0,1,3,0,24
"127",0,0,6,3,3,9
"128",0,0,1,0,0,31
"129",0,0,0,0,30,3
"130",0,1,1,1,0,17
