"","V1","V2","V3","V4","V5","V6"
"1",10,2,0,4,0,0
"2",13,0,2,0,0,0
"3",5,0,0,0,3,0
"4",2,0,0,3,0,0
"5",14,2,1,0,0,0
"6",2,4,0,0,3,0
"7",9,0,0,0,0,0
"8",12,0,4,2,0,0
"9",5,2,0,0,3,0
"10",12,0,2,0,0,0
"11",2,0,0,0,3,0
"12",11,0,0,0,4,0
"13",4,3,0,2,0,0
"14",8,0,0,0,3,0
"15",10,2,0,2,0,0
"16",4,0,0,3,0,0
"17",11,0,1,0,0,0
"18",0,5,0,0,0,0
"19",10,0,3,0,0,0
"20",4,2,0,2,0,0
"21",2,0,0,0,3,0
"22",6,0,0,3,0,3
"23",16,0,1,0,0,0
"24",9,2,3,0,0,0
"25",13,0,0,0,3,0
"26",10,2,0,0,0,0
"27",4,0,0,3,0,0
"28",11,5,2,0,0,0
"29",4,2,2,0,0,0
"30",13,2,1,0,0,0
"31",5,11,0,5,0,0
"32",11,4,0,0,0,0
"33",10,0,0,0,0,0
"34",14,0,0,0,3,0
"35",0,0,0,4,0,0
"36",10,0,2,0,0,0
"37",8,0,2,0,0,0
"38",15,1,0,0,2,0
"39",0,0,0,4,0,0
"40",4,1,0,0,0,0
"41",11,4,2,0,0,0
"42",0,0,0,4,0,0
"43",9,4,0,0,0,0
"44",0,0,0,4,0,0
"45",12,0,0,0,0,0
"46",3,0,0,3,0,0
"47",12,3,0,0,0,0
"48",9,0,2,0,2,0
"49",10,3,0,2,0,0
"50",3,2,0,2,0,0
"51",12,2,0,2,0,0
"52",9,2,0,1,0,0
"53",4,0,0,0,1,0
"54",3,0,0,0,0,0
"55",4,0,3,0,0,0
"56",3,0,0,3,0,0
"57",10,4,0,0,2,0
"58",12,0,0,2,0,0
"59",7,6,0,0,1,0
"60",2,0,0,3,0,0
"61",0,0,0,4,0,0
"62",4,0,0,0,2,0
"63",4,3,0,0,1,0
"64",0,0,0,0,4,0
"65",3,0,3,0,0,0
"66",12,2,0,2,0,0
"67",0,0,0,0,4,0
"68",5,0,2,0,0,0
"69",5,2,0,0,0,0
"70",2,0,0,0,0,0
"71",9,0,0,1,0,0
"72",12,0,0,0,0,0
"73",3,0,0,3,0,0
"74",10,1,0,0,0,0
"75",10,2,0,0,0,0
"76",9,3,1,0,0,0
"77",2,0,0,3,0,0
"78",6,5,0,0,0,0
"79",2,0,0,0,3,0
"80",9,3,0,1,0,0
"81",7,2,0,4,1,0
"82",10,4,0,0,2,0
"83",7,3,0,0,0,0
"84",13,0,0,0,2,0
"85",0,3,0,0,0,0
"86",6,4,2,0,0,0
"87",14,1,0,2,0,0
"88",0,0,0,4,0,0
"89",8,0,0,0,2,0
"90",0,0,4,0,0,0
"91",2,0,0,3,0,0
"92",0,0,0,0,4,0
"93",12,0,0,0,3,0
"94",0,0,0,4,0,0
"95",0,0,0,0,4,0
"96",14,0,0,3,0,0
"97",12,0,2,0,0,0
"98",5,2,0,0,2,0
"99",15,1,0,0,0,0
"100",4,0,0,3,0,0
"101",3,0,0,0,3,0
"102",2,0,0,0,0,0
"103",15,0,3,0,0,0
"104",3,0,0,3,0,0
"105",3,11,0,0,3,0
"106",2,0,0,3,0,0
"107",3,0,3,0,0,0
"108",3,0,0,0,0,0
"109",10,0,2,0,0,0
"110",12,6,0,0,0,0
"111",0,0,0,0,4,0
"112",8,0,2,0,0,0
"113",12,1,0,0,0,0
"114",8,0,0,0,3,0
"115",4,0,0,3,0,0
"116",5,3,0,0,2,0
"117",8,2,0,2,0,0
"118",8,0,0,0,2,0
"119",14,3,1,0,0,0
"120",10,2,0,3,0,0
"121",8,0,0,3,1,0
"122",7,0,0,0,0,0
"123",12,0,5,0,0,0
"124",7,0,2,0,0,0
"125",2,0,0,3,0,0
"126",0,0,0,0,4,0
"127",14,0,0,0,0,0
"128",3,0,0,0,3,0
"129",0,0,0,4,0,0
"130",10,3,2,0,0,0
