"","V1","V2","V3","V4","V5","V6"
"1",3,8,0,4,0,0
"2",7,0,2,0,0,0
"3",13,0,0,0,2,0
"4",12,3,0,2,0,0
"5",3,1,0,0,0,0
"6",4,11,0,2,0,0
"7",9,0,1,0,0,0
"8",15,0,2,0,0,0
"9",10,3,0,0,2,0
"10",11,0,0,1,0,0
"11",7,0,0,3,0,0
"12",9,2,0,0,0,3
"13",10,1,0,0,0,0
"14",14,1,2,0,0,0
"15",4,5,2,1,0,0
"16",8,3,0,2,0,0
"17",0,13,1,0,2,0
"18",3,1,0,0,0,0
"19",9,0,0,0,2,0
"20",11,4,0,2,0,0
"21",9,0,0,0,2,0
"22",6,6,0,0,0,0
"23",2,0,3,0,0,0
"24",12,0,0,0,2,0
"25",0,0,0,0,4,0
"26",10,3,0,0,0,0
"27",14,2,0,2,0,0
"28",11,2,2,0,0,0
"29",5,1,2,0,2,0
"30",6,4,2,0,0,0
"31",13,3,0,2,0,0
"32",10,6,0,0,0,0
"33",8,2,0,0,2,0
"34",5,9,0,0,3,0
"35",4,6,0,0,0,0
"36",6,0,2,0,0,0
"37",0,13,2,0,1,0
"38",2,0,0,3,0,0
"39",7,0,0,3,0,0
"40",1,8,0,2,0,0
"41",7,5,3,0,3,0
"42",0,0,0,4,0,0
"43",11,2,0,0,0,0
"44",3,0,0,3,0,0
"45",11,2,0,0,2,0
"46",8,0,0,3,0,0
"47",2,5,0,0,3,0
"48",10,1,0,0,2,0
"49",2,0,0,0,3,0
"50",3,2,0,2,0,0
"51",0,14,0,2,0,0
"52",9,0,0,0,0,0
"53",7,0,0,0,1,0
"54",8,3,0,1,0,0
"55",8,3,1,0,0,0
"56",3,0,0,0,0,0
"57",8,3,0,0,0,0
"58",11,0,0,2,0,0
"59",8,0,1,0,0,0
"60",10,0,0,3,0,0
"61",0,0,0,4,0,0
"62",8,0,0,0,2,0
"63",5,2,3,0,0,0
"64",0,0,0,0,4,0
"65",5,0,2,0,0,0
"66",6,4,0,2,0,0
"67",10,0,2,0,0,0
"68",10,0,0,0,3,0
"69",10,2,0,0,0,0
"70",13,0,0,0,3,0
"71",12,0,0,1,0,0
"72",12,0,2,0,0,0
"73",10,0,3,0,2,0
"74",9,2,0,0,0,0
"75",7,0,0,0,3,0
"76",5,0,0,0,3,0
"77",2,0,0,3,0,0
"78",10,0,0,3,0,0
"79",3,10,0,0,2,0
"80",4,0,0,0,3,0
"81",3,0,0,0,0,0
"82",9,4,0,0,2,0
"83",3,15,0,0,0,0
"84",11,2,0,2,0,0
"85",13,2,0,0,0,0
"86",8,1,0,3,0,0
"87",3,0,4,3,1,0
"88",7,2,0,3,0,0
"89",6,3,0,0,0,0
"90",0,14,0,0,0,0
"91",4,8,0,0,0,0
"92",0,3,0,0,0,0
"93",1,13,0,0,2,0
"94",0,3,0,0,0,0
"95",9,0,0,0,0,0
"96",10,0,0,1,1,0
"97",8,3,2,0,0,0
"98",0,0,14,2,1,0
"99",0,0,0,0,4,0
"100",12,2,0,0,0,0
"101",4,0,0,0,2,0
"102",0,0,0,0,4,0
"103",6,6,0,0,2,0
"104",7,0,0,3,0,0
"105",13,0,0,0,3,0
"106",2,0,0,3,0,0
"107",8,0,2,0,0,0
"108",6,5,0,0,2,0
"109",7,0,2,0,0,0
"110",0,0,0,4,0,0
"111",7,2,0,0,2,0
"112",9,0,2,0,0,0
"113",5,4,2,0,1,0
"114",7,0,0,0,3,0
"115",12,0,0,3,0,0
"116",0,0,0,0,4,0
"117",6,2,0,2,0,0
"118",12,2,1,0,0,0
"119",8,0,2,0,0,0
"120",5,4,0,3,0,0
"121",8,2,0,2,1,0
"122",1,10,0,4,2,0
"123",2,5,3,0,0,0
"124",9,0,2,0,0,0
"125",7,3,0,2,0,0
"126",8,0,0,0,2,0
"127",0,16,0,0,0,0
"128",1,9,2,0,2,0
"129",10,6,0,0,0,0
"130",11,4,0,1,0,0
