"","V1","V2","V3","V4","V5","V6"
"1",0,0,0,0,2,30
"2",1,0,0,3,24,0
"3",0,2,1,19,0,3
"4",0,0,1,6,3,0
"5",2,1,0,0,0,14
"6",0,0,3,1,19,0
"7",0,0,0,2,0,24
"8",0,0,1,0,11,4
"9",0,1,0,6,13,0
"10",0,0,2,1,21,0
"11",0,1,0,0,6,13
"12",0,1,4,0,17,0
"13",0,0,1,2,20,2
"14",0,0,2,2,20,0
"15",0,1,0,0,0,21
"16",0,0,0,3,0,25
"17",0,1,0,2,19,3
"18",0,0,1,0,10,1
"19",0,0,0,0,7,17
"20",0,0,0,8,14,0
"21",0,0,0,1,7,17
"22",0,0,3,0,14,2
"23",0,0,1,1,15,0
"24",0,1,2,2,4,0
"25",0,0,0,0,2,18
"26",0,2,3,0,0,13
"27",0,0,0,4,20,0
"28",0,0,0,1,20,2
"29",0,1,1,5,8,2
"30",1,0,1,4,4,8
"31",0,0,1,5,16,0
"32",0,0,0,5,7,9
"33",0,0,0,0,1,18
"34",1,0,3,9,4,3
"35",0,0,0,1,0,29
"36",0,0,1,2,13,3
"37",0,0,0,4,5,18
"38",0,0,2,5,1,13
"39",0,0,0,4,3,21
"40",0,0,0,0,0,28
"41",1,0,0,0,23,0
"42",0,0,1,2,0,24
"43",0,2,0,1,2,15
"44",0,0,2,2,3,19
"45",0,4,1,3,13,0
"46",0,0,2,0,2,24
"47",0,0,0,0,8,20
"48",0,1,0,0,12,8
"49",0,0,0,0,1,23
"50",1,0,7,2,9,0
"51",0,0,0,4,12,1
"52",0,0,0,2,1,20
"53",0,1,0,8,7,0
"54",0,1,1,1,8,1
"55",1,0,1,0,16,1
"56",0,1,1,4,8,0
"57",0,0,0,1,1,22
"58",0,1,0,1,0,24
"59",0,0,0,8,7,4
"60",0,0,1,4,8,7
"61",0,0,0,1,1,27
"62",0,1,1,3,14,1
"63",1,2,2,9,0,0
"64",0,0,0,10,3,1
"65",0,0,1,3,9,9
"66",0,0,0,1,0,22
"67",0,0,0,0,1,24
"68",1,0,1,11,4,4
"69",0,1,0,4,15,3
"70",0,0,0,2,3,23
"71",0,1,4,8,5,0
"72",0,1,0,2,4,15
"73",0,3,0,0,3,17
"74",0,2,0,6,6,5
"75",0,1,0,3,1,19
"76",0,0,0,7,6,0
"77",0,0,2,2,1,22
"78",1,0,0,1,21,0
"79",0,0,0,1,0,19
"80",0,0,0,1,18,1
"81",0,0,3,1,21,0
"82",1,0,2,0,19,0
"83",0,0,0,4,0,20
"84",0,0,0,1,2,26
"85",0,0,0,5,4,17
"86",0,0,1,0,3,24
"87",0,1,2,1,19,4
"88",0,0,1,0,20,1
"89",0,0,0,16,3,3
"90",0,0,3,0,7,9
"91",0,0,0,2,0,15
"92",2,3,2,5,0,0
"93",0,0,1,1,1,23
"94",0,1,0,2,17,2
"95",0,0,1,0,0,24
"96",1,0,1,14,0,0
"97",0,0,0,0,25,1
"98",0,3,14,2,1,0
"99",1,0,0,5,17,3
"100",0,0,2,0,20,0
"101",0,0,1,8,2,6
"102",0,1,0,3,0,18
"103",0,0,2,0,2,22
"104",0,1,0,18,2,2
"105",0,1,1,5,8,0
"106",0,0,0,3,16,1
"107",0,0,10,1,0,3
"108",0,0,0,4,14,0
"109",0,0,0,1,0,23
"110",0,0,0,1,3,16
"111",0,0,4,5,14,0
"112",0,0,2,9,12,0
"113",0,0,0,3,18,0
"114",0,0,0,0,7,21
"115",0,0,0,4,11,3
"116",0,0,2,13,6,0
"117",0,1,1,3,19,0
"118",0,1,0,2,20,0
"119",0,0,0,3,3,14
"120",0,0,2,0,5,22
"121",0,1,2,6,6,0
"122",0,0,0,1,2,18
"123",0,0,2,1,14,2
"124",1,0,0,4,16,0
"125",0,1,0,1,0,20
"126",0,1,0,1,4,18
"127",0,0,1,2,4,14
"128",0,0,0,0,3,23
"129",0,0,0,4,12,10
"130",0,0,1,2,13,6
