"","V1","V2","V3","V4","V5","V6"
"1",9,3,0,4,0,0
"2",3,0,0,3,0,0
"3",0,0,0,4,0,0
"4",3,0,0,3,0,0
"5",13,3,0,0,0,0
"6",13,0,3,0,0,3
"7",9,0,0,0,0,0
"8",12,4,0,2,0,0
"9",8,0,0,0,3,0
"10",12,0,2,0,0,0
"11",4,0,0,0,3,0
"12",4,0,0,4,1,0
"13",2,0,3,0,0,0
"14",8,0,0,0,5,0
"15",5,1,4,2,0,0
"16",11,3,0,0,2,0
"17",7,0,3,0,0,0
"18",4,1,0,0,0,0
"19",10,0,3,0,0,0
"20",4,0,0,2,0,0
"21",2,0,3,0,0,0
"22",5,2,0,4,0,0
"23",13,2,3,0,0,0
"24",12,0,1,0,0,0
"25",0,0,0,4,0,0
"26",10,2,0,0,0,0
"27",6,0,0,3,0,0
"28",4,0,2,0,0,0
"29",4,2,0,0,2,0
"30",12,0,0,3,0,0
"31",2,3,0,2,0,0
"32",3,0,2,0,0,0
"33",2,0,0,3,0,0
"34",2,0,0,0,3,0
"35",5,0,0,0,3,0
"36",10,0,2,0,0,0
"37",14,0,2,0,0,0
"38",2,0,3,0,0,0
"39",0,0,0,4,0,0
"40",3,3,0,0,2,0
"41",8,3,0,2,0,0
"42",0,0,0,4,0,0
"43",0,5,0,0,0,0
"44",0,0,0,4,0,0
"45",0,0,0,0,4,0
"46",9,1,2,0,0,0
"47",7,1,0,0,3,0
"48",4,2,0,0,2,0
"49",5,0,0,2,0,0
"50",3,2,0,2,0,0
"51",14,2,0,2,0,0
"52",10,0,0,0,0,0
"53",5,0,0,0,1,0
"54",0,3,0,0,0,0
"55",11,0,3,0,0,0
"56",4,0,0,3,0,0
"57",5,0,0,0,3,0
"58",12,1,1,2,0,0
"59",4,0,0,0,0,0
"60",12,0,3,0,0,0
"61",0,0,0,4,0,0
"62",3,0,3,0,0,0
"63",13,5,0,0,1,0
"64",7,4,0,0,2,0
"65",14,0,0,0,2,0
"66",6,4,0,2,0,0
"67",7,0,0,4,0,0
"68",5,0,0,0,3,0
"69",5,2,0,0,0,0
"70",2,0,0,0,0,0
"71",9,0,0,1,0,0
"72",12,0,0,0,0,0
"73",3,3,0,3,0,0
"74",3,3,0,0,0,0
"75",2,0,0,0,3,0
"76",11,0,2,0,3,0
"77",2,0,0,3,0,0
"78",13,0,0,3,0,0
"79",11,0,0,0,3,0
"80",4,0,0,3,0,0
"81",3,0,0,0,2,0
"82",3,2,0,0,2,0
"83",9,3,2,3,0,0
"84",12,0,3,0,0,0
"85",0,3,0,0,0,0
"86",9,0,2,0,0,0
"87",7,3,0,2,0,0
"88",0,0,0,4,0,0
"89",9,3,2,0,1,0
"90",0,0,4,0,0,0
"91",3,0,3,0,0,0
"92",14,0,0,3,0,0
"93",2,0,0,0,3,0
"94",11,2,3,0,1,0
"95",4,4,0,2,0,0
"96",8,6,0,2,0,0
"97",11,5,3,1,0,0
"98",4,2,0,0,2,0
"99",10,1,0,0,0,0
"100",10,0,0,3,1,0
"101",5,0,0,0,3,0
"102",0,0,0,0,4,0
"103",2,0,0,3,0,0
"104",13,0,0,3,0,0
"105",8,6,2,0,1,0
"106",2,0,0,3,0,0
"107",6,0,0,0,2,0
"108",12,0,2,0,0,0
"109",14,0,2,0,0,0
"110",6,0,0,0,3,0
"111",5,0,0,1,0,0
"112",4,0,2,0,0,0
"113",0,0,4,0,0,0
"114",11,0,0,0,3,0
"115",3,0,0,0,3,0
"116",0,6,4,6,2,0
"117",10,3,0,2,0,0
"118",12,2,0,0,2,0
"119",9,0,2,0,0,0
"120",12,0,0,3,0,0
"121",13,0,2,2,1,0
"122",2,0,0,0,3,0
"123",13,4,1,0,0,0
"124",0,0,0,4,0,0
"125",13,1,0,3,0,0
"126",2,0,0,0,3,0
"127",6,0,3,0,0,0
"128",11,0,0,0,3,0
"129",13,0,0,0,3,0
"130",2,0,0,0,0,0
