"","V1","V2","V3","V4","V5","V6"
"1",1,4,3,15,0,0
"2",1,6,3,12,0,0
"3",0,16,0,0,1,0
"4",1,9,8,3,0,0
"5",1,6,8,0,0,0
"6",12,1,0,0,0,0
"7",8,2,0,0,1,0
"8",10,0,0,0,0,0
"9",2,13,0,2,4,0
"10",7,6,0,4,0,0
"11",4,15,2,0,0,0
"12",0,0,9,6,2,2
"13",0,0,0,0,0,0
"14",8,3,0,3,0,0
"15",2,3,6,4,0,0
"16",0,8,3,0,0,0
"17",2,0,0,0,3,0
"18",1,8,7,0,0,4
"19",4,3,0,3,2,0
"20",0,10,1,3,0,0
"21",2,8,5,7,0,0
"22",3,14,5,0,0,0
"23",12,0,1,0,0,0
"24",0,12,0,8,0,0
"25",0,4,12,6,2,0
"26",0,12,9,0,0,0
"27",8,2,0,0,3,0
"28",4,11,1,0,0,0
"29",7,4,0,0,0,0
"30",0,0,0,0,1,0
"31",1,13,0,2,0,0
"32",7,3,0,4,0,0
"33",3,6,2,0,3,0
"34",10,0,0,0,2,0
"35",1,4,15,0,0,0
"36",7,0,3,0,0,0
"37",0,0,13,14,0,0
"38",15,0,0,0,2,0
"39",1,8,3,7,0,0
"40",1,10,6,2,2,0
"41",4,7,3,0,0,0
"42",0,3,22,4,0,0
"43",6,7,2,0,6,0
"44",1,4,10,2,0,0
"45",6,8,7,0,0,0
"46",0,13,0,0,0,2
"47",2,9,0,0,0,0
"48",2,0,0,0,4,0
"49",9,0,0,3,0,0
"50",9,2,2,2,0,0
"51",2,14,0,1,0,0
"52",0,2,11,1,3,0
"53",9,0,0,0,2,0
"54",11,0,2,0,0,0
"55",8,4,2,0,0,0
"56",1,9,2,0,0,0
"57",0,11,0,3,0,0
"58",0,11,2,6,0,0
"59",0,0,2,0,0,0
"60",0,16,6,0,0,0
"61",0,2,22,3,0,0
"62",9,9,0,0,0,0
"63",0,19,0,0,0,0
"64",0,0,0,0,3,0
"65",11,0,1,0,0,0
"66",0,5,10,3,0,0
"67",4,10,0,0,2,0
"68",0,0,0,0,4,0
"69",13,4,0,0,0,0
"70",0,6,13,3,0,0
"71",12,0,0,2,0,0
"72",6,3,0,2,0,0
"73",5,0,0,0,0,0
"74",2,5,0,0,0,0
"75",12,6,0,2,0,0
"76",1,2,13,5,3,0
"77",0,8,12,2,0,0
"78",2,12,5,0,5,0
"79",3,12,0,0,0,0
"80",6,6,7,0,1,0
"81",0,0,0,0,2,0
"82",2,12,4,0,3,0
"83",0,7,1,12,0,0
"84",2,8,8,3,0,0
"85",8,7,0,0,0,0
"86",0,3,10,9,0,0
"87",0,0,0,0,3,0
"88",2,3,19,4,0,0
"89",5,7,5,0,0,0
"90",1,0,13,6,0,0
"91",0,5,15,3,0,0
"92",5,6,7,0,3,0
"93",0,14,5,0,1,0
"94",1,3,12,5,0,0
"95",0,11,3,2,6,0
"96",1,0,6,12,0,0
"97",3,9,9,0,0,0
"98",0,3,23,2,1,0
"99",7,2,4,0,4,0
"100",1,0,0,0,3,0
"101",0,8,10,3,2,0
"102",10,0,0,7,0,0
"103",4,13,0,3,0,0
"104",0,2,17,3,3,0
"105",12,0,0,0,1,0
"106",2,4,10,1,0,0
"107",10,0,0,0,2,0
"108",4,10,0,1,0,0
"109",0,0,12,10,0,0
"110",17,2,0,0,0,0
"111",0,0,2,0,0,0
"112",13,0,4,0,0,0
"113",2,16,2,2,0,0
"114",2,4,9,0,3,0
"115",9,0,0,0,3,0
"116",11,0,2,3,0,0
"117",0,3,23,2,0,0
"118",0,12,5,2,0,0
"119",1,0,0,3,0,0
"120",1,1,9,18,0,0
"121",1,0,0,0,0,0
"122",1,17,2,0,0,0
"123",1,2,4,17,0,0
"124",13,0,0,0,0,0
"125",0,9,10,4,0,0
"126",0,5,11,5,0,0
"127",2,0,0,4,0,0
"128",0,9,6,0,0,0
"129",7,12,0,0,0,0
"130",1,6,21,0,0,0
