"","V1","V2","V3","V4","V5","V6"
"1",5,5,5,0,0,0
"2",6,0,0,4,1,0
"3",10,3,0,2,0,0
"4",3,0,0,3,0,0
"5",3,1,0,0,0,0
"6",2,3,0,0,2,0
"7",9,0,0,0,0,0
"8",11,4,0,2,0,0
"9",8,0,0,0,3,0
"10",4,0,2,0,0,0
"11",0,0,0,0,4,0
"12",4,0,0,4,1,0
"13",13,0,3,0,0,0
"14",7,0,0,3,0,0
"15",0,4,7,5,0,0
"16",2,0,0,0,3,0
"17",14,0,0,0,3,0
"18",3,3,0,0,0,0
"19",11,2,0,0,2,0
"20",11,0,0,2,0,0
"21",0,0,0,0,4,0
"22",13,0,0,2,0,0
"23",15,2,1,0,0,0
"24",2,2,0,0,0,0
"25",0,0,0,0,4,0
"26",6,5,0,0,0,0
"27",10,2,2,0,0,0
"28",10,0,2,0,0,0
"29",0,4,0,0,2,0
"30",2,0,0,0,3,0
"31",13,3,0,2,0,0
"32",6,7,0,0,3,0
"33",0,4,0,0,0,0
"34",2,0,0,0,3,0
"35",5,0,0,0,3,0
"36",6,0,2,0,0,0
"37",4,0,3,0,0,0
"38",7,0,0,0,3,0
"39",0,0,0,4,0,0
"40",3,3,0,0,2,0
"41",12,0,0,0,2,0
"42",0,0,0,4,0,0
"43",4,1,0,0,0,0
"44",0,0,0,4,0,0
"45",0,0,0,0,4,0
"46",6,4,4,0,0,0
"47",7,3,0,0,0,0
"48",7,2,0,0,2,0
"49",9,3,0,2,0,0
"50",3,2,0,2,0,0
"51",0,0,0,0,4,0
"52",11,0,0,0,0,0
"53",5,0,0,0,1,0
"54",0,3,0,0,0,0
"55",3,0,3,0,0,0
"56",0,0,0,0,4,0
"57",5,0,0,0,3,0
"58",6,8,3,6,0,0
"59",1,8,5,3,0,0
"60",11,2,0,0,3,0
"61",0,0,0,4,0,0
"62",2,0,3,0,0,0
"63",0,13,0,0,1,0
"64",13,0,0,2,0,0
"65",4,0,0,0,2,0
"66",8,7,0,2,0,0
"67",2,0,0,0,3,0
"68",14,2,0,0,2,0
"69",13,2,0,0,0,0
"70",8,6,0,0,0,0
"71",5,0,0,1,0,0
"72",12,2,0,3,0,0
"73",0,0,0,4,0,0
"74",4,1,0,0,0,0
"75",2,0,0,0,3,0
"76",5,0,0,0,3,0
"77",2,0,0,3,0,0
"78",0,0,0,0,4,0
"79",9,0,0,0,3,0
"80",6,0,0,3,0,0
"81",6,0,0,0,3,0
"82",10,2,0,0,2,0
"83",2,0,0,0,0,0
"84",0,0,0,0,4,0
"85",0,3,0,0,0,0
"86",11,4,0,0,2,0
"87",0,0,0,4,0,0
"88",0,0,0,4,0,0
"89",1,12,2,0,1,0
"90",0,0,4,0,0,0
"91",2,0,0,3,0,0
"92",10,2,0,0,2,0
"93",2,0,0,0,3,0
"94",10,0,3,0,1,0
"95",7,0,0,1,0,0
"96",3,6,0,2,0,0
"97",0,4,0,0,0,0
"98",4,2,0,0,2,0
"99",4,4,0,0,0,0
"100",14,0,0,3,2,0
"101",10,0,0,0,3,0
"102",12,0,0,4,0,0
"103",3,0,0,3,0,0
"104",3,0,0,3,0,0
"105",13,6,0,0,0,0
"106",2,0,0,3,0,0
"107",6,0,0,0,2,0
"108",13,0,2,0,0,0
"109",9,0,2,0,0,0
"110",6,0,0,3,0,0
"111",3,0,3,0,0,0
"112",5,0,2,0,0,0
"113",3,4,0,0,0,0
"114",8,3,0,0,3,0
"115",13,0,0,0,3,0
"116",0,0,0,0,4,0
"117",5,3,0,2,0,0
"118",4,0,3,0,0,0
"119",2,0,0,0,0,0
"120",14,0,0,3,0,0
"121",11,1,0,0,0,0
"122",5,4,0,2,0,0
"123",3,14,1,0,0,0
"124",9,0,0,0,0,0
"125",10,3,0,3,0,0
"126",9,2,0,0,2,0
"127",3,3,0,2,0,0
"128",9,0,0,0,3,0
"129",2,0,0,3,0,0
"130",13,1,0,0,0,0
